Avatar,Money Made,,
Forrest Gump,"$678,226,465",,
Doctor Strange,"$677,796,076",,
The Sixth Sense,"$672,806,432",,
Man of Steel,"$668,045,518",,
Ice Age: The Meltdown,"$667,094,506",,
Kung Fu Panda 2,"$665,692,281",,
Justice League,"$657,926,987",,
Big Hero 6,"$657,869,686",,
Fantastic Beasts: The Crimes of Grindelwald,"$654,855,901",,
Pirates of the Caribbean: The Curse of the Black Pearl,"$654,264,015",,
Star Wars: Episode II - Attack of the Clones,"$653,779,970",,
The Hunger Games: Mockingjay - Part 2,"$653,428,261",,
Thor: The Dark World,"$644,783,140",,
Moana,"$643,355,082",,
Sing,"$634,338,384",,
Kung Fu Panda,"$632,083,197",,
The Incredibles,"$631,607,053",,
The Martian,"$630,620,818",,
Hancock,"$629,443,428",,
Water Gate Bridge,"$626,571,280",,
Fast Five,"$626,137,675",,
Men in Black 3,"$624,026,776",,
Iron Man 2,"$623,933,331",,
Ratatouille,"$623,726,085",,
Ant-Man and the Wasp,"$622,674,139",,
How to Train Your Dragon 2,"$621,537,519",,
Logan,"$619,179,950",,
The Lost World: Jurassic Park,"$618,638,999",,
Casino Royale,"$616,502,912",,
The Passion of the Christ,"$612,054,506",,
Mamma Mia!,"$611,257,819",,
Life of Pi,"$609,016,565",,
Transformers: The Last Knight,"$605,425,157",,
Madagascar: Escape 2 Africa,"$603,900,354",,
War of the Worlds,"$603,873,119",,
Tangled,"$592,462,816",,
Quantum of Solace,"$589,580,482",,
Men in Black,"$589,390,539",,
The Croods,"$587,235,983",,
The Hangover Part II,"$586,764,305",,
Iron Man,"$585,796,247",,
I Am Legend,"$585,410,052",,
Ready Player One,"$582,918,849",,
"Monsters, Inc.","$579,707,738",,
Operation Red Sea,"$579,330,426",,
Night at the Museum,"$574,481,229",,
Fifty Shades of Grey,"$569,651,467",,
Kong: Skull Island,"$566,652,812",,
The Smurfs,"$563,749,323",,
Cars 2,"$559,852,396",,
King Kong,"$556,906,378",,
Puss in Boots,"$554,987,477",,
The Mermaid,"$553,810,228",,
Armageddon,"$553,709,788",,
The Day After Tomorrow,"$552,639,571",,
Ted,"$549,368,315",,
American Sniper,"$547,459,020",,
Mission: Impossible II,"$546,388,108",,
Detective Chinatown 2,"$544,185,156",,
X-Men: Apocalypse,"$543,934,105",,
,,,
,,,
